회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
JS전선,5560,절연선 및 케이블 제조업,"선박선,고무선,전력선,통신선 제조",2007-11-12,12월,이익희,http://www.jscable.co.kr,충청남도
거북선2호,101380,,운송장비(선박) 임대,2008-04-25,12월,신주선,,부산광역시
거북선6호,114140,,,2009-10-01,12월,김연신,,제주특별자치도
교보메리츠,64900,,"부동산 투자,운용",2002-01-30,12월,김 상 진,,서울특별시
국제관광공사,28780,,,1966-03-18,12월,,,
굿리치경매1,85450,,부동산 임대 및 공급,2005-09-06,05월,굿앤리치자산운용,http://www.goodnrich.co.kr,서울특별시
그린손해보험,470,보험업,"손해보험(자동차,화재,해상,특종,장기보험)",1975-06-30,03월,라용규,http://www.greeninsu.com,서울특별시
극동건설,980,,"건축공사,토목공사,아파트건설,도로포장공사,플랜트설치공사,전기공사,전기통신공사/기술용역/주택 판매,빌딩 임대",1976-12-13,12월,여동진,http://www.kukdong.co.kr,서울특별시
금성산업,28930,,,1976-12-28,12월,,,
금호케미칼,14740,,,1984-05-29,12월,,,
기라정보통신,19930,,"영상음향,통신장비,인쇄회로기판(PCB,MLB) 제조/비거주용건물 임대",1999-11-18,12월,윤석재,http://www.kiraic.co.kr,경기도
나라종금,16390,재 보험업,,1988-03-05,03월,,,
뉴맥스,14080,,,1994-01-31,12월,,,
대덕GDS,4130,전자부품 제조업,"인쇄회로기판 제조,무역대리",1987-08-10,12월,"김영재, 강경식",http://www.daeduckgds.co.kr,경기도
대한종금,9030,,,1974-06-10,03월,,,
동국무역,4420,,"합섬직물,면직물,봉제품,방적업,합성수지 제조,도매,수출입",1976-07-15,12월,김수강,http://www.tongkook.co.kr,서울특별시
동부일렉트로닉스,1830,,"반도체,배선기구,전자손목시계,개폐장치 제조",1977-09-30,12월,"윤대근, 오영환",http://www.dongbuelec.co.kr,서울특별시
동북아14호선박투자,83390,,운수장비 임대,2005-08-29,12월,조용식,,부산광역시
동북아9호,83120,,운송장비 임대,2005-05-27,12월,김연신,,부산광역시
동아콘크리트공업,29230,,,1975-12-22,12월,,,
두산상사,90,,,1989-01-26,12월,,,서울특별시
라이프주택,10530,,,1977-06-04,12월,,,
마이다스성일,35590,재 보험업,,1999-08-09,,김기환,,
미성건설,28400,,,1978-07-18,12월,,,
보람은행,8890,,,1974-07-15,12월,,,
보루네오가구,4740,가구 제조업,"가정용가구,주방가구,사무용가구,제재목 제조,도소매,무역(원목,합판)",1988-09-22,12월,김삼기,http://www.bif.co.kr,인천광역시
삼보증권,29150,,,1975-09-30,12월,,,
삼성신약,3400,,,1989-05-31,12월,,,
삼양제넥스,3940,기타 식품 제조업,"전분,전분당,사료,바이오그린,과당,솔비틀,올리고당,분해성수지 제조,수입(결정과당,CPP)",1987-06-26,12월,문성환,http://www.genex.co.kr,서울특별시
서울교통공사,730,,,1969-02-07,12월,,,
세원화성,7910,,"합성수지(불포화 폴리에스터수지),우레탄폼,농업용필름,스폰지 제조",1996-12-24,12월,김해진,http://www.sewonchem.co.kr,대전광역시
송원칼라,11450,,"염료,안료,유연제 제조",1996-01-30,12월,크라우스디이터바움가르트,http://www.songwoncolor.com,울산광역시
스마텔,4190,,"볼륨,스위치,센서,전화기 제조",1977-06-22,12월,"김영봉,최세훈",http://www.smartel.co.kr,경기도
신승기업,28980,,,1978-02-08,12월,,,
신정제지,18690,,,1992-01-23,12월,,,
신한은행,10,보험업,"은행업(은행업무,외국환업무,신탁업무)",1956-03-03,12월,진옥동,http://www.shinhan.com,서울특별시
신호전자,8190,,,1989-08-30,12월,,,
신호페이퍼,12190,,,1984-02-06,06월,,,
아시아7호,82260,,운송장비 임대,2005-03-16,12월,신주선,http://www.koreashipfinance.com,부산광역시
아시아퍼시픽11호,83580,,운송장비 임대,2005-08-23,06월,신주선,http://www.koreashipfinance.com,부산광역시
아시아퍼시픽12호,83590,,운송장비임대,2005-08-23,06월,신주선,http://www.koreashipfinance.com,부산광역시
아시아퍼시픽15호,83620,운송장비 임대업,선박 임대,2005-08-05,08월,신주선,http://www.koreashipfinance.com,부산광역시
알바트로스,34180,재 보험업,,1999-04-29,,,,
알앤엘바이오,3190,기초 의약물질 및 생물학적 제제 제조업,무역(컴퓨터주변기기),1976-06-30,12월,라정찬,http://www.rnl.co.kr,서울특별시
에스지신성건설,1970,토목 건설업,"국내 및 해외종합건설,조경공사/부동산 임대,전문기술용역/수질오염방지.폐기물처리시설 설계시공,오수.축산폐수처리 시설 설계시공",1976-03-24,12월,신영환,http://www.sscorp.co.kr,서울특별시
에이치비이에너지,17300,영상 및 음향기기 제조업,"모니터,파워서플라이,팩시밀리,위성방송수신기,인터넷전용셋롭박스 제조,판매,수출",1995-11-10,12월,한상업,http://www.kds21.com,경상북도
엘아이지건설(주),12720,,"종합건설,주택,아파트 건설",1989-08-22,12월,이현태,http://www.ligenc.com,서울특별시
연합과기,900030,회사 본부 및 경영 컨설팅 서비스업,"PU피혁, 직조 및 염색",2008-12-04,12월,장홍걸,http://united-cn.com,홍콩
영풍산업,2850,비알코올음료 및 얼음 제조업,"광업(연정광,아연정광,금정광)/건축공사,토목공사/주택 분양",1977-06-29,12월,윤병권,http://www.youngpoong-mc.co.kr,서울특별시
우성건설,8640,,,1989-12-22,12월,,,
우진건설산업,29110,,,1977-12-24,12월,,,
우진전기,12050,,,1989-06-26,12월,,,
유리이에스,7050,특수 목적용 기계 제조업,"주조품(압연롤러),ROLL가공,중기부품가공,레미콘임대",1975-12-27,12월,노명래,http://www.yurie.co.kr,서울특별시
이지닷컴,12260,,,1987-09-23,12월,김인열,http://www.ezdc.co.kr,경기도
장기은행,5020,,,1969-05-13,12월,,,
제일종금,12500,,,1978-06-30,03월,,,
제일화재해상보험,610,보험업,"화재보험,해상보험,자동차보험,장기저축성보험,각종손해보험 및 부대사업",1976-06-05,03월,권처신,http://www.firstfire.co.kr,서울특별시
조선맥주,34380,,,1956-10-01,12월,,,
중앙제지,5600,,"펄프,종이,종이제품(마니라판지,로루지) 제조,복사용지 도매",1990-03-09,12월,김창식,http://www.capm.co.kr,전라북도
중앙종금,8990,재 보험업,,1974-09-09,03월,,,
지누스,13890,,"레저용텐트자재,가방,배낭,봉제완구,침구류 도소매,수출,제조/인터넷,정보통신,벤처기업설립 및 투자관련 사업",1989-05-30,12월,이윤재,http://www.zinus.co.kr,경기도
지비베트남1,94950,신탁업 및 집합투자업,투자신탁,2007-05-08,01월,(주)골든브릿지자산운용,_,서울특별시
캠브리지코오롱,4620,봉제의복 제조업,"신사복(자켓,남성슈트,남성바지,남성레인코트,남성코트),캠브리지 제조,도매/부동산 임대",1988-05-19,12월,오원선,http://www.cambridge.co.kr,경기도
케니상사,28560,,,1991-02-19,12월,,,
코리아01호,90970,,운수장비(선박) 임대,2006-07-21,12월,신주선,http://koreashipfinance.com,부산광역시
태림페이퍼,19300,"펄프, 종이 및 판지 제조업",골판지 원지 및 판지제조,1995-08-18,12월,김영식,http://www.tailimpaper.co.kr,경기도
트러스제7호,140890,부동산 임대 및 공급업,,2011-09-30,04월,김종수,,서울특별시
티엘씨레저,14590,유원지 및 기타 오락관련 서비스업,"피혁의류(쟈켓,스커트,바지),피혁원단 제조,무역",2000-01-06,12월,"이국봉, 김기성 (각자대표)",http://www.thehotelasia.com,서울특별시
팬택앤큐리텔,63350,,"이동통신단말기 제조,도소매",2003-09-17,12월,"박병엽, 이성규",http://www.curitel.com,서울특별시
평안섬유공업,28360,,"캐주얼웨어 제조,판매",1975-06-30,12월,,,서울특별시
플래티넘1호,34580,재 보험업,,1999-03-16,,,,
한국생사,28380,,,1978-07-24,12월,,,
한국운수,28750,,,1956-03-03,12월,,,
한국코아,10150,,"EI-CORE,STRIP,모터코아,PERMALLAY코아,규소강판코어,금형 제조,도매,무역",1987-09-10,12월,유광윤,http://www.hkcc.co.kr,
한길종금,14430,,,1988-10-21,03월,,,
한솔아트원제지,7190,"펄프, 종이 및 판지 제조업","아트지,백상지등 제조",1974-06-24,12월,이 명 길,http://www.hansolartonepaper.co.kr,경기도
한솔종금,10220,,,1975-03-29,03월,,,
한주전자,7000,,,1990-03-05,12월,,,
한주화학,10970,,,1989-07-25,12월,,,
한화기계,930,,,1973-08-08,12월,,,서울특별시
한화화인케미칼,25850,기초 화학물질 제조업,"정밀화학제품(TDI(Toluene diisocyanate,폴리우레탄원료)와 TDI부산물(염산 등),MPP) 제조",1995-11-10,12월,현광헌,http://www.hanwhafinechemical.com,전라남도
현대DSF,16510,종합 소매업,"백화점,통신판매,부동산 임대",1994-12-27,12월,하병호(河炳鎬),http://www.e-hyundai.com,울산광역시
현대반도체,29890,,,1996-11-09,12월,,,
현대하이스코,10520,1차 철강 제조업,"강관(탄소강관,스테인레스강관,이중보온관,메폴파이프), 차량경량화제품 제조",1989-09-29,12월,박봉진,http://www.hysco.com,울산광역시
화인자산관리,10460,기타 금융업,"기타금융업,기타투자업",1988-09-15,12월,전돈희,,서울특별시
흥양,10030,,,1988-01-21,12월,,,
3R,37730,,DVR(디지털영상저장장치),2000-07-25,12월,장성익,http://WWW.3R.CO.KR,서울특별시
3노드디지탈,900010,회사 본부 및 경영 컨설팅 서비스업,지주회사,2007-08-17,12월,리유쯔슝,http://www.3nod.com.cn/index/index.aspx,케이맨 제도
KTB드림1,42300,,유가증권등의매매등을통한자산의투자·운용업무,2000-05-26,03월,장상기,,서울특별시
KTB자산배분2,38380,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-02-25,,김형찬,,서울특별시
SK1호스팩,207930,금융 지원 서비스업,기업인수합병,2015-03-31,12월,양승재,,서울특별시
SK컴즈,66270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","싸이월드, 네이트온, 네이트",2003-11-07,12월,박상순,http://www.skcomms.co.kr,서울특별시
경북금고,8050,,대출이자,1996-07-01,06월,김진현,,대구광역시
경윤하이드로,19120,일반 목적용 기계 제조업,GRAIN,1992-12-18,12월,이승진,http://www.kyungyoon.co.kr,경기도
골든브릿지제2호스팩,206660,금융 지원 서비스업,기업인수합병,2015-02-05,12월,최형철,,서울특별시
교보성공파트너일호펀,34650,,유가증권등의매매등을통한자산의투자·운용업무,1999-03-12,,송형진,,서울특별시
교보성공파트너크린앤,35980,,유가증권등의 매매등을 통한 자산의 투자·운용업무,1999-10-29,,방기헌,,서울특별시
국제종합토건,24860,,,1996-07-01,12월,,,부산광역시
굿라이프10-MF,37510,신탁업 및 집합투자업,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-02-25,11월,미래에셋자산운용투자자문(주),,서울특별시
글로웍스,34600,부동산 임대 및 공급업,"LIPS,CTI,VMS",1999-12-07,09월,박성훈,http://www.gloworks.co.kr,서울특별시
네이쳐글로벌,88020,반도체 제조업,영상/음성압축복원칩,2006-12-19,12월,박지우,http://www.pentamicro.com,경기도
넷컴스토리지,37010,,"QuRAID(저장기기제조,판매)",1999-12-21,12월,권기태,http://www.netcomstorage.com,서울특별시
뉴젠아이씨티,54150,기계장비 및 관련 물품 도매업,"컴퓨터유통 및 도매, 출입통제 및 인증관리 시스템",2001-11-08,12월,김기홍,http://www.newgenict.co.kr,서울특별시
뉴켐진스템셀,36280,종합 소매업,업농약살포차,1999-12-21,12월,김성곤,http://www.stniglobal.com,서울특별시
다임알짜2호-MF,51960,,유가증권등의 매매등을 통한 자산의 투자·운용업무,2001-04-02,01월,김두남,,경기도
단암산업,5650,,,1996-07-01,12월,,,서울특별시
대백쇼핑,27700,,"의류, 식품, 패션잡화, 가정용품",1997-01-17,12월,임승준,http://www.debec-shopping.com,
대신증권그로쓰스팩,123550,금융 지원 서비스업,합병(유일한 사업목적),2010-08-24,12월,김정열,,서울특별시
데코,13650,봉제의복 제조업,의류,1996-01-20,12월,박성경,http://www.deco.co.kr,서울특별시
동방티엔씨,18860,,,1996-07-01,12월,,,서울특별시
동아일렉콤,11860,,,1996-07-01,12월,,,경기도
동원뮤추얼장보고1호,34470,,유가증권등의매매등을통한자산의투자·운용업무,1999-02-18,,남상명,,서울특별시
마이다스코코,40860,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-04-28,02월,박광수,,서울특별시
맥시스템,36880,,모뎀(MODEM),1999-12-07,12월,박영기,http://www.mac.co.kr,경기도
모빌탑,85680,소프트웨어 개발 및 공급업,모바일솔루션및컨텐츠,2006-01-25,12월,권태형,http://www.mobiletop.co.kr,서울특별시
무한투자,34510,신탁업 및 집합투자업,벤처캐피탈,2000-04-14,12월,박동명,http://www.muhanic.com,서울특별시
미래아이티2,40260,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-04-28,02월,김태우,,서울특별시
미래에셋알바트로스이,35320,,유가증권등의매매등을통한자산의투자·운용업무,1999-08-13,,김남익,,서울특별시
미래에셋크린채권형이,36310,,"유가증권의 매매등을 통한 자산의 투자, 운용업무",1999-11-12,,김남익,,서울특별시
미래주식1,47890,,"유가증권의 매매등을 통한 자산의 투자, 운용업무",2000-09-25,07월,신경래,,서울특별시
미래하이2호,39210,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-04-21,02월,최교전,,서울특별시
미래하이4,40950,,유가증권등의 매매등을 통한 자산의 투자·운용업무,2000-05-15,03월,김태우,,서울특별시
미래한아름2,46820,,"유가증권의 매매등을 통한 자산의 투자, 운용업무",2000-09-04,06월,선경래,,서울특별시
미주실업,15060,,분양공사,1996-07-01,12월,김우소,http://www.miju.co.kr,서울특별시
박현주1호,34160,,,1999-04-16,,,,서울특별시
박현주3성장,37770,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-02-25,,이봉현,,서울특별시
박현주7성장,38940,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-03-31,01월,정태화,,서울특별시
베스트플로우,60410,기타 사업지원 서비스업,"침입탐지시스템, 보안취약점분석, 헬프데스크",2002-05-07,12월,박 대 웅,http://www.yuriint.com,서울특별시
부산방직,25270,방적 및 가공사 제조업,방모복지,1995-03-20,12월,이용우,http://www.busantex.co.kr,부산광역시
비엔디,47940,동물용 사료 및 조제식품 제조업,"섬유질가공사료, 사료첨가제",2001-06-21,12월,한황,http://www.en-biotec.com,충청남도
비엔씨컴퍼니,58370,기타 전문 도매업,비철 스크랩 재생 및 유통,2002-02-19,12월,안대원,http://www.techgs.net,경기도
사라콤,40020,통신 및 방송 장비 제조업,GMDSS(전세계 해상조난구조 시스템) 장비,2000-07-13,12월,서동현,http://www.sarscom.net,서울특별시
사이노젠,64060,일반 목적용 기계 제조업,대기용필터,2002-07-30,12월,주광선,http://www.ctc-filter.com,충청남도
삼능건설,2830,,,1996-07-01,12월,,,광주광역시
삼성라이프에머랄드일,34320,,,1999-04-16,,,,서울특별시
삼성프라임증권투자회,34270,,유가증권등의매매등을통한자산의투자·운용업무,1999-03-12,,오문성,,서울특별시
성보섬유,8430,,,1996-07-01,12월,,,서울특별시
세븐코스프,17160,동물용 사료 및 조제식품 제조업,사료,1992-09-07,12월,박정한,http://www.korsf.co.kr,전라북도
세원,13730,,,1996-07-01,12월,,,
세이플러스,49990,,유가증권등의 매매등을 통한 자산의 투자·운용업무,2000-11-06,08월,김상근,,서울특별시
스틸플라워,87220,1차 철강 제조업,후육강관,2009-10-27,12월,김종룡,http://www.steelflower.co.kr,부산광역시
승화프리텍,111610,기반조성 및 시설물 축조관련 전문공사업,"LMC교면포장공법, HEAT가설교량공법",2010-01-06,12월,신항묵,http://www.seunghwa.co.kr,서울특별시
신텍,99660,"구조용 금속제품, 탱크 및 증기발생기 제조업",산업용 보일러,2009-04-30,12월,"김명순, 김유상(각자대표)",http://www.seentec.com,경상남도
신호테크,18910,,,1996-07-01,12월,,,서울특별시
실크자산2,36650,,"유가증권의 매매등을 통한 자산의 투자, 운용업무",1999-12-24,,이병익,,서울특별시
심스밸리,42470,,디지털 보이스 레코드 개발 및 제조,2000-07-19,12월,심윤태,http://www.simsvalley.com,서울특별시
알루코,21570,,전해콘덴서용 알루미늄 에칭박,1989-12-23,06월,박주영,http://www.aluko.co.kr,충청북도
알에스넷,46430,기계장비 및 관련 물품 도매업,반도체,2002-05-23,06월,최윤종,http://www.rsnet.kr,서울특별시
에이프로테크놀로지,45470,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","가스분석기,지능형교통시스템(ITS)",2000-07-27,12월,대표이사 이한모,http://aprocctv.com,인천광역시
엘앤피아너스,61140,영상 및 음향기기 제조업,"PDPTV,LCDTV",2004-10-29,12월,이강원,http://www.lnphonors.co.kr,대전광역시
엠제이비,74150,건물설비 설치 공사업,"산업환경설비, 주정생산설비등",2005-07-08,12월,윤영배,http://www.chenergeering.com,제주특별자치도
영일케미컬,1910,,,1996-07-01,12월,전영완,http://www.yichem.co.kr,경기도
우전,52270,전자부품 제조업,휴대폰 부품 제조 및 판매,2001-06-05,12월,이종우,http://www.woojeon.co.kr,서울특별시
원진,5370,,내화물,1996-07-01,12월,손달호,http://www.wonjin.co.kr,부산광역시
유티엑스,45880,기계장비 및 관련 물품 도매업,케이블모뎀,2002-02-07,09월,이성암,http://www.i-utx.com,서울특별시
이글5호,37190,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무",2000-01-28,,구원회,,서울특별시
이레전자산업,45310,,"TFT-LCD 모니터, 휴대폰용 충전기, 휴대폰, PDP TV",2002-01-10,12월,정문식,http://www.erae.com,서울특별시
이론테크,34980,,수자원관리용 SI,2000-07-13,12월,최경주,http://WWW.ERONTECH.CO.KR,서울특별시
이롬텍,45400,전자부품 제조업,"Guide Roller, D.Y., Stepping Motor",2001-08-17,10월,장형철,http://www.masterstechron.com,경기도
이앤텍,47450,전자부품 제조업,"CPM,ARM,COVER/BASE",2000-11-23,12월,이 원 호,http://entech.or.kr,경기도
익산,23710,,네온간판,1996-07-01,12월,감경철,,서울특별시
일신,12540,,건축,1996-07-01,12월,이찬성,,강원도
제네시스,52640,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",통합보안관리시스템,2001-07-31,12월,"송치민, 장철진(각자 대표이사)",http://www.sidus.co.kr,서울특별시
조이토토,44370,유원지 및 기타 오락관련 서비스업,전자상거래(복권),2000-07-13,12월,조 성 삼,http://www.lototo.co.kr,서울특별시
중앙디자인,30030,전문디자인업,실내인테리어디자인,2001-12-04,12월,"변인근, 임명환, 최의종(각자대표)",http://www.jad.co.kr,서울특별시
지노시스템,33850,특수 목적용 기계 제조업,플랜트,1998-05-25,12월,"이을구, 전정철( 각자대표이사)",http://www.g-inno.com,서울특별시
지디코프,36610,"영화, 비디오물, 방송프로그램 제작 및 배급업",무선가인지망,1999-12-07,12월,김태은,http://www.imobileone.com,서울특별시
지앤알,43630,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전자 혈압계,2000-07-04,12월,박준오,http://www.gnrinc.kr,광주광역시
지에스엔텍,37640,,"열교환기, 산업용 보일러, 압력용기",1999-12-24,12월,김철구,http://www.gsentec.com,울산광역시
지엔텍홀딩스,65410,일반 목적용 기계 제조업,집진기 유지보수 및 제조,2002-08-01,12월,정 봉 규,http://www.gentechholdings.com,서울특별시
챌린지성장2,35680,,유가증권등의 매매등을 통한 자산의 투자·운용업무,1999-09-17,,윤낙기,http://www.lgfund.co.kr,서울특별시
카카오M,16170,기록매체 복제업,"MC,CD",2001-01-11,12월,이제욱,http://www.iloen.com,서울특별시
태평양금속,11920,,,1996-07-01,12월,,,서울특별시
트라이콤,38410,기계장비 및 관련 물품 도매업,"S/W도매,보안솔루션",2006-07-25,12월,이강진,http://www.tricom.co.kr,서울특별시
트윈스챌린지펀드,34350,,유가증권등의매매등을통한자산의투자·운용업무,1999-02-18,,이성효,,서울특별시
팬텀엔터그룹,25460,기타 사업지원 서비스업,"골프볼, 골프웨어",2003-01-29,12월,김옥평,http://www.fantoment.com,서울특별시
퓨쳐인포넷,58690,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(중형컴퓨터기기의 판매), 전자도서관 구축",2003-12-29,12월,류원기,http://www.futureinfonet.com,서울특별시
플래닛82,57330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","Adaptor, Powertrans, Encoder, Reactor, S.M.P.S",2001-12-20,12월,윤상조,http://www.planet82.co.kr,경상북도
플래티넘성2-MF,44740,,유가증권등의 매매등을 통한 자산의 투자·운용업무,2000-06-30,05월,정동진,,서울특별시
하림홀딩스,24660,기타 금융업,비금융지주회사,1997-08-06,12월,김홍국,http://www.harimgroup.com,전라북도
한국4호스팩,240540,금융 지원 서비스업,기업인수합병,2016-06-22,12월,박진수,,서울특별시
한국종합철관,14340,,피복강관,1996-07-01,12월,김응식,,경기도
한국체인,12350,,체인,1996-07-01,12월,천석기,http://www.hanchain.co.kr,경기도
한국화이바,7850,,,1996-07-01,12월,조용준,http://www.hfiber.com,경상남도
한림창투,21060,신탁업 및 집합투자업,창업자에 대한 투자 및 융자,2000-06-15,12월,"최석찬, 강성교",http://www.hallimventure.com,서울특별시
한아시스템,36020,,라우터 외 (네트워크사업),1999-12-03,12월,박인숙,http://www.hanasys.co.kr,서울특별시
한일제관,26950,,CAN,1996-07-01,12월,정동택,http://www.hanilcan.co.kr,경상남도
한통엠닷컴,30700,,"무선전신전화업,음성데이타부가서비스제공",1999-12-21,12월,정의진,http://www.hansolpcs.co.kr,서울특별시
희훈디앤지,19640,실내건축 및 건축마무리 공사업,의장공사,1993-09-17,12월,"김재혁, 허 헌",http://www.heehoon.co.kr,서울특별시
극동자동화,272420,전기 및 통신 공사업,"통신 및 보안시스템 구축, 선박엔진 유압장치(HPS)",2017-06-28,12월,이상열,http://kdakr.com,울산광역시
나무기술,167380,소프트웨어 개발 및 공급업,"소프트웨어 개발,공급",2016-11-28,12월,정철,http://www.namutech.co.kr,경기도
시냅스엠,246830,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","OVP서비스, UGC서비스, OTT서비스",2016-07-13,12월,김덕조,http://www.scenappsm.com,서울특별시
영현무역,242850,상품 중개업,의류(봉제),2016-05-20,12월,이관묵,http://www.younghyun.co.kr,서울특별시
유디피,91270,소프트웨어 개발 및 공급업,"IP카메라, 지능형영상분석SW",2014-12-12,12월,안정근,http://www.udptechnology.co.kr,서울특별시
인산가,62580,기타 식품 제조업,"죽염 및 죽염응용, 엑기스류",2015-12-21,12월,김윤세,http://www.insanga.co.kr,경상남도
GS글로벌,1250,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,김태형,http://www.gsgcorp.com,서울특별시
HSD엔진,82740,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.doosanengine.com,경상남도
KG케미칼,1390,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,12월,김경묵,http://www.kgchem.co.kr,울산광역시
LG이노텍,11070,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,정철동,http://www.lginnotek.co.kr,서울특별시
OCI,10060,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매",1985-07-09,12월,"백우석, 이우현, 김택중(3인, 각자 대표이사)",http://www.oci.co.kr,서울특별시
SK네트웍스,1740,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업",1977-06-30,12월,"최신원, 박상규 (각자 대표이사)",http://www.sknetworks.co.kr,서울특별시
SK이노베이션,96770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,김준,http://www.SKinnovation.com,서울특별시
STX,11810,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매",1990-09-12,12월,박상준,http://www.stx.co.kr,경상남도
WISCOM,24070,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공",1996-11-22,12월,구영일,http://www.wiscom.co.kr,경기도
갤럭시아에스엠,11420,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",1989-11-14,12월,심우택,http://galaxiasme.com,서울특별시
경동도시가스,267290,연료용 가스 제조 및 배관공급업,도시가스,2017-05-12,12월,"송재호, 나윤호",http://www.kdgas.co.kr,울산광역시
경동인베스트,12320,석탄 광업,지주회사,1997-03-07,12월,조진수,http://www.kdinvest.co.kr,경기도
고려아연,10130,1차 비철금속 제조업,"연,아연괴 제조,판매",1990-07-28,12월,"최창근, 이제중, 최윤범",http://www.koreazinc.co.kr,서울특별시
고려제강,2240,1차 철강 제조업,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매",1976-05-25,12월,"이이문, 박창희 (각자대표)",http://www.kiswire.com,부산광역시
광명전기,17040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역",1990-09-14,12월,"이재광,조광식",http://www.kmec.co.kr,경기도
극동유화,14530,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",1991-01-31,12월,"장홍선, 장선우 (각자대표)",http://www.kdoc.co.kr,경상남도
까뮤이앤씨,13700,건물 건설업,"토목공사,건축공사/부동산 임대",1989-11-30,12월,손병재,http://www.camusenc.com,경기도
남양유업,3920,낙농제품 및 식용빙과류 제조업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",1978-06-24,12월,이광범,http://www.namyangi.com,서울특별시
노루페인트,90350,기타 화학제품 제조업,페인트 제조,2006-07-03,12월,"김용기, 진명호(각자 대표이사)",,경기도
대림씨엔에스,4440,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작",2016-03-30,12월,배동호,http://www.daelimcns.co.kr,서울특별시
대영포장,14160,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조",1990-03-06,12월,"권혁홍, 권택환",http://www.dypc.co.kr,경기도
대원제약,3220,의약품 제조업,"의약품(소화제,항생제,호흡기제,해열제,호르몬제) 제조,도매",1999-12-15,12월,"백승호,백승열",http://www.daewonpharm.com,서울특별시
대한해운,5880,해상 운송업,"외항화물운송,국제해운대리점",1992-04-23,12월,김칠봉,http://www.korealines.co.kr,서울특별시
동남합성,23450,기초 화학물질 제조업,"계면활성제,정밀화학품 제조,도매/부동산 임대",1996-12-24,12월,"김정돈,손응주 (각자대표)",http://www.dongnamchem.com,충청남도
동아쏘시오홀딩스,640,기타 금융업,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산",1970-02-10,12월,한종현,http://www.donga.co.kr,서울특별시
동양,1520,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘/건설공사/산업용 송풍기,1976-06-25,12월,정진학,http://www.tongyanginc.co.kr,서울특별시
롯데손해보험,400,보험업,손해보험업,1971-04-16,12월,김현수,http://www.lotteins.co.kr,서울특별시
롯데쇼핑,23530,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2006-02-09,12월,"이원준, 강희태",http://www.lotteshopping.com/,서울특별시
마니커,27740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",2002-10-29,12월,최상웅,http://www.maniker.co.kr,경기도
모두투어리츠,204210,부동산 임대 및 공급업,"호텔 부동산 취득, 관리, 개량 및 처분",2016-09-22,12월,최동주,http://www.modetourreit.com,서울특별시
